product_id,product_name,category,unit_cost,unit_price
PROD00041,Sunflower Seeds 041,Grains,52.04,69.21
PROD00042,Bananas 042,Fruits,11.0,17.45
PROD00043,Oranges 043,Oils,77.08,97.85
PROD00044,Sunflower Seeds 044,Oils,35.9,53.05
PROD00045,Barley 045,Seeds,49.28,68.01
PROD00046,Corn 046,Oils,16.83,19.69
PROD00047,Olives 047,Fruits,42.55,64.38
PROD00048,Sunflower Seeds 048,Grains,35.64,56.2
PROD00049,Lentils 049,Oils,26.49,40.57
PROD00050,Barley 050,Oils,26.12,34.84
PROD00051,Corn 051,Legumes,25.06,30.25
PROD00052,Bananas 052,Legumes,75.35,109.62
PROD00053,Tomatoes 053,Oils,46.39,61.83
PROD00054,Sunflower Seeds 054,Grains,24.38,32.75
PROD00055,Sunflower Oil 055,Seeds,36.46,53.01
PROD00056,Sunflower Seeds 056,Legumes,15.24,18.11
PROD00057,Lentils 057,Fruits,65.84,97.97
PROD00058,Potatoes 058,Vegetables,64.91,78.95
PROD00059,Onions 059,Vegetables,78.75,112.22
PROD00060,Olives 060,Seeds,34.33,49.21
PROD00061,Almonds 061,Legumes,56.32,77.3
PROD00062,Oranges 062,Vegetables,53.17,61.28
PROD00063,Olive Oil 063,Seeds,19.07,28.83
PROD00064,Oranges 064,Fruits,45.48,71.08
PROD00065,Sunflower Seeds 065,Seeds,12.4,16.85
PROD00066,Corn 066,Seeds,49.79,73.37
PROD00067,Sunflower Oil 067,Oils,36.78,44.93
PROD00068,Chickpeas 068,Seeds,22.22,28.03
PROD00069,Olive Oil 069,Oils,39.8,50.05
PROD00070,Sunflower Seeds 070,Fruits,57.66,72.39
PROD00071,Apples 071,Grains,71.66,85.01
PROD00072,Olives 072,Vegetables,31.88,38.85
PROD00073,Olive Oil 073,Fruits,34.36,44.63
PROD00074,Barley 074,Seeds,6.86,10.46
PROD00075,Barley 075,Oils,75.79,87.82
PROD00076,Barley 076,Seeds,2.46,3.22
PROD00077,Almonds 077,Seeds,43.98,65.12
PROD00078,Tomatoes 078,Seeds,19.11,25.72
PROD00079,Barley 079,Seeds,28.22,41.08
PROD00080,Apples 080,Legumes,14.87,20.23
PROD00081,Tomatoes 081,Oils,43.66,68.03
PROD00082,Olive Oil 082,Fruits,52.13,63.13
PROD00083,Olives 083,Vegetables,5.92,7.82
PROD00084,Barley 084,Seeds,27.49,41.03
PROD00085,Chickpeas 085,Grains,60.66,92.47
PROD00086,Potatoes 086,Fruits,38.68,57.52
PROD00087,Potatoes 087,Grains,19.49,23.02
PROD00088,Tomatoes 088,Fruits,76.07,94.3
PROD00089,Oranges 089,Oils,13.89,16.76
PROD00090,Chickpeas 090,Oils,75.93,103.21
PROD00091,Oranges 091,Grains,15.09,21.48
PROD00092,Tomatoes 092,Vegetables,77.25,92.6
PROD00093,Barley 093,Grains,46.91,73.11
PROD00094,Almonds 094,Seeds,75.43,93.48
PROD00095,Oranges 095,Fruits,56.38,72.49
PROD00096,Corn 096,Oils,63.05,82.36
PROD00097,Sunflower Seeds 097,Legumes,30.9,42.57
PROD00098,Oranges 098,Fruits,68.27,103.77
PROD00099,Olive Oil 099,Seeds,76.94,110.49
PROD00100,Chickpeas 100,Legumes,13.93,17.12
PROD00101,Sunflower Oil 101,Oils,65.04,90.55
PROD00102,Chickpeas 102,Seeds,35.97,53.2
PROD00103,Onions 103,Grains,68.43,104.28
PROD00104,Olive Oil 104,Grains,70.77,89.15
PROD00105,Tomatoes 105,Oils,49.61,65.51
PROD00106,Olives 106,Seeds,68.37,84.22
PROD00107,Chickpeas 107,Grains,64.23,83.7
PROD00108,Onions 108,Oils,2.79,4.4
PROD00109,Almonds 109,Vegetables,58.17,79.68
PROD00110,Olive Oil 110,Legumes,39.14,57.55
PROD00111,Almonds 111,Fruits,9.26,11.57
PROD00112,Wheat 112,Grains,53.79,70.79
PROD00113,Wheat 113,Seeds,79.74,111.45
PROD00114,Almonds 114,Legumes,37.39,48.16
PROD00115,Bananas 115,Fruits,58.26,75.27
PROD00116,Lentils 116,Vegetables,18.88,25.83
PROD00117,Wheat 117,Fruits,66.95,85.92
PROD00118,Apples 118,Vegetables,25.58,37.57
PROD00119,Lentils 119,Grains,5.55,6.52
PROD00120,Sunflower Oil 120,Legumes,75.64,108.7
PROD00121,Sunflower Oil 121,Fruits,70.07,98.68
PROD00122,Potatoes 122,Seeds,36.36,44.83
PROD00123,Onions 123,Grains,75.4,102.92
PROD00124,Potatoes 124,Seeds,40.36,56.89
PROD00125,Lentils 125,Vegetables,13.64,19.14
PROD00126,Corn 126,Fruits,79.53,95.7
PROD00127,Barley 127,Oils,48.5,69.27
PROD00128,Corn 128,Seeds,72.86,93.54
PROD00129,Oranges 129,Grains,46.35,54.56
PROD00130,Onions 130,Vegetables,50.79,64.46
PROD00131,Bananas 131,Vegetables,20.71,28.96
PROD00132,Sunflower Oil 132,Fruits,33.86,49.44
PROD00133,Lentils 133,Grains,4.55,5.82
PROD00134,Almonds 134,Legumes,69.05,81.62
PROD00135,Olives 135,Grains,63.45,90.81
PROD00136,Apples 136,Seeds,10.95,13.7
PROD00137,Bananas 137,Grains,66.48,78.59
PROD00138,Lentils 138,Grains,48.41,73.63
PROD00139,Barley 139,Seeds,11.7,17.08
PROD00140,Onions 140,Grains,41.04,56.32
PROD00141,Sunflower Seeds 141,Oils,5.11,6.87
PROD00142,Tomatoes 142,Oils,21.53,25.64
PROD00143,Bananas 143,Legumes,66.07,93.11
PROD00144,Chickpeas 144,Seeds,42.48,57.31
PROD00145,Sunflower Oil 145,Vegetables,79.76,107.37
PROD00146,Sunflower Seeds 146,Fruits,38.66,51.56
PROD00147,Corn 147,Legumes,10.16,12.42
PROD00148,Barley 148,Legumes,40.65,58.87
PROD00149,Chickpeas 149,Oils,4.86,5.78
PROD00150,Tomatoes 150,Grains,11.04,16.53
PROD00151,Potatoes 151,Legumes,69.81,94.79
PROD00152,Sunflower Oil 152,Vegetables,42.44,60.7
PROD00153,Chickpeas 153,Legumes,36.48,42.8
PROD00154,Sunflower Oil 154,Oils,12.22,15.64
PROD00155,Almonds 155,Fruits,4.25,6.09
PROD00156,Corn 156,Legumes,14.35,20.06
PROD00157,Oranges 157,Fruits,19.53,29.85
PROD00158,Apples 158,Seeds,75.87,109.36
PROD00159,Chickpeas 159,Seeds,74.75,95.78
PROD00160,Almonds 160,Seeds,67.11,106.78
PROD00161,Apples 161,Seeds,45.0,59.52
PROD00162,Corn 162,Fruits,23.55,35.45
PROD00163,Tomatoes 163,Grains,74.87,103.21
PROD00164,Sunflower Oil 164,Grains,58.63,89.52
PROD00165,Sunflower Seeds 165,Vegetables,36.83,50.38
PROD00166,Sunflower Seeds 166,Oils,61.5,81.16
PROD00167,Barley 167,Vegetables,78.5,98.71
PROD00168,Sunflower Seeds 168,Vegetables,68.77,91.8
PROD00169,Barley 169,Legumes,38.89,60.71
PROD00170,Apples 170,Seeds,79.1,119.17
PROD00171,Sunflower Seeds 171,Seeds,77.26,93.24
PROD00172,Olive Oil 172,Fruits,70.19,94.63
PROD00173,Apples 173,Fruits,58.35,77.87
PROD00174,Sunflower Seeds 174,Fruits,38.62,61.26
PROD00175,Sunflower Seeds 175,Oils,56.03,80.82
PROD00176,Sunflower Seeds 176,Legumes,69.03,91.19
PROD00177,Potatoes 177,Legumes,58.06,86.61
PROD00178,Lentils 178,Oils,7.34,10.53
PROD00179,Oranges 179,Vegetables,60.25,81.05
PROD00180,Bananas 180,Legumes,56.9,68.01
PROD00181,Sunflower Seeds 181,Legumes,25.36,29.49
PROD00182,Apples 182,Fruits,24.88,32.81
PROD00183,Bananas 183,Vegetables,43.43,61.0
PROD00184,Barley 184,Vegetables,15.66,22.3
PROD00185,Apples 185,Oils,55.28,75.95
PROD00186,Chickpeas 186,Vegetables,37.97,48.01
PROD00187,Lentils 187,Legumes,2.73,4.13
PROD00188,Wheat 188,Legumes,44.63,52.81
PROD00189,Chickpeas 189,Oils,25.33,40.1
PROD00190,Barley 190,Seeds,67.93,84.21
PROD00191,Wheat 191,Seeds,10.32,13.64
PROD00192,Tomatoes 192,Oils,25.08,36.73
PROD00193,Potatoes 193,Legumes,32.87,37.92
PROD00194,Lentils 194,Oils,60.12,91.67
PROD00195,Olives 195,Vegetables,49.35,64.58
PROD00196,Apples 196,Oils,21.55,32.11
PROD00197,Potatoes 197,Legumes,9.58,13.72
PROD00198,Wheat 198,Grains,63.51,73.99
PROD00199,Sunflower Seeds 199,Legumes,12.25,19.1
PROD00200,Wheat 200,Legumes,34.41,42.68
PROD00201,Bananas 201,Oils,41.14,52.36
PROD00202,Lentils 202,Grains,73.3,115.44
PROD00203,Olive Oil 203,Legumes,69.89,105.67
PROD00204,Barley 204,Fruits,12.98,20.57
PROD00205,Tomatoes 205,Oils,30.53,45.97
PROD00206,Chickpeas 206,Grains,43.85,59.4
PROD00207,Wheat 207,Oils,31.72,45.59
PROD00208,Sunflower Seeds 208,Fruits,54.64,74.43
PROD00209,Olive Oil 209,Oils,19.27,22.71
PROD00210,Apples 210,Legumes,25.57,34.1
PROD00211,Sunflower Oil 211,Fruits,75.81,97.56
PROD00212,Apples 212,Fruits,9.58,14.84
PROD00213,Corn 213,Seeds,37.38,54.27
PROD00214,Corn 214,Oils,59.9,73.05
PROD00215,Corn 215,Legumes,9.72,13.32
PROD00216,Olive Oil 216,Grains,4.55,5.99
PROD00217,Oranges 217,Seeds,76.14,116.87
PROD00218,Wheat 218,Legumes,30.65,47.68
PROD00219,Oranges 219,Fruits,33.05,40.83
PROD00220,Tomatoes 220,Seeds,9.15,11.4
PROD00221,Apples 221,Fruits,63.37,79.82
PROD00222,Olives 222,Oils,18.01,27.44
PROD00223,Sunflower Seeds 223,Oils,18.84,29.04
PROD00224,Chickpeas 224,Vegetables,63.51,90.07
PROD00225,Bananas 225,Vegetables,79.03,110.1
PROD00226,Tomatoes 226,Fruits,53.56,62.22
PROD00227,Sunflower Seeds 227,Grains,63.62,79.97
PROD00228,Corn 228,Fruits,15.59,18.3
PROD00229,Olive Oil 229,Oils,10.86,12.8
PROD00230,Almonds 230,Grains,42.03,50.4
PROD00231,Lentils 231,Oils,5.38,8.08
PROD00232,Sunflower Oil 232,Seeds,52.18,60.74
PROD00233,Olive Oil 233,Seeds,35.25,42.25
PROD00234,Apples 234,Fruits,72.14,93.42
PROD00235,Sunflower Seeds 235,Fruits,11.84,16.94
PROD00236,Olive Oil 236,Seeds,79.58,110.52
PROD00237,Oranges 237,Oils,49.22,58.8
PROD00238,Olives 238,Legumes,52.77,78.95
PROD00239,Sunflower Seeds 239,Seeds,37.22,46.63
PROD00240,Sunflower Seeds 240,Seeds,33.1,48.93
PROD00241,Apples 241,Seeds,26.38,33.36
PROD00242,Onions 242,Legumes,73.99,87.32
PROD00243,Wheat 243,Fruits,35.69,53.0
PROD00244,Sunflower Seeds 244,Vegetables,45.4,64.19
PROD00245,Corn 245,Legumes,11.53,15.09
PROD00246,Lentils 246,Legumes,6.01,7.69
PROD00247,Apples 247,Grains,10.08,13.89
PROD00248,Wheat 248,Legumes,39.61,60.65
PROD00249,Almonds 249,Oils,30.67,45.8
PROD00250,Tomatoes 250,Seeds,67.92,107.89
PROD00251,Chickpeas 251,Oils,74.47,113.44
PROD00252,Lentils 252,Fruits,16.07,23.56
PROD00253,Apples 253,Grains,29.38,36.19
PROD00254,Tomatoes 254,Oils,53.27,62.93
PROD00255,Corn 255,Fruits,60.2,75.06
PROD00256,Sunflower Seeds 256,Seeds,28.59,37.64
PROD00257,Apples 257,Oils,48.51,75.07
PROD00258,Onions 258,Vegetables,60.85,71.34
PROD00259,Olive Oil 259,Grains,36.56,49.02
PROD00260,Oranges 260,Seeds,23.31,34.73
PROD00261,Sunflower Oil 261,Grains,35.53,45.39
PROD00262,Barley 262,Oils,54.04,63.25
PROD00263,Olives 263,Oils,6.27,7.79
PROD00264,Oranges 264,Vegetables,61.6,78.86
PROD00265,Apples 265,Fruits,40.8,54.83
PROD00266,Wheat 266,Seeds,43.54,54.58
PROD00267,Corn 267,Fruits,32.97,48.92
PROD00268,Sunflower Seeds 268,Fruits,37.86,44.87
PROD00269,Corn 269,Oils,35.48,47.26
PROD00270,Sunflower Seeds 270,Grains,10.98,12.73
PROD00271,Wheat 271,Vegetables,64.5,92.12
PROD00272,Corn 272,Fruits,36.06,43.19
PROD00273,Lentils 273,Oils,33.24,39.4
PROD00274,Bananas 274,Legumes,28.48,37.02
PROD00275,Olives 275,Fruits,41.82,50.24
PROD00276,Apples 276,Grains,29.39,46.47
PROD00277,Bananas 277,Vegetables,10.02,12.68
PROD00278,Onions 278,Oils,13.92,20.76
PROD00279,Olive Oil 279,Vegetables,76.2,109.16
PROD00280,Sunflower Seeds 280,Oils,61.27,82.84
PROD00281,Sunflower Oil 281,Legumes,26.66,35.93
PROD00282,Potatoes 282,Seeds,51.25,77.3
PROD00283,Olive Oil 283,Grains,41.57,53.61
PROD00284,Onions 284,Fruits,6.44,9.82
PROD00285,Barley 285,Legumes,69.41,106.54
PROD00286,Potatoes 286,Seeds,47.27,74.66
PROD00287,Olives 287,Seeds,72.91,102.6
PROD00288,Potatoes 288,Grains,49.19,67.67
PROD00289,Sunflower Seeds 289,Seeds,10.07,15.65
PROD00290,Potatoes 290,Legumes,8.58,12.36
PROD00291,Bananas 291,Vegetables,57.19,91.27
PROD00292,Corn 292,Grains,31.08,39.7
PROD00293,Sunflower Seeds 293,Grains,54.95,64.49
PROD00294,Barley 294,Fruits,27.72,38.84
PROD00295,Apples 295,Grains,21.66,33.21
PROD00296,Wheat 296,Grains,8.36,12.11
PROD00297,Barley 297,Grains,77.48,113.46
PROD00298,Lentils 298,Vegetables,48.41,76.11
PROD00299,Apples 299,Oils,31.38,47.27
PROD00300,Onions 300,Legumes,56.82,89.56
