purchase_id,supplier_id,product_id,warehouse_id,order_date,expected_date,received_date,quantity,unit_cost
PO000030,SUP0037,PROD00099,WH008,2024-01-22,2024-01-27,2024-01-29,2826,8.36
PO000031,SUP0065,PROD00113,WH010,2024-09-09,2024-09-28,2024-10-02,2788,2.46
PO000032,SUP0017,PROD00151,WH012,2025-07-14,2025-08-07,2025-08-18,3207,54.95
PO000033,SUP0061,PROD00083,WH010,2025-04-19,2025-05-07,2025-05-15,1707,6.86
PO000034,SUP0062,PROD00067,WH003,2024-02-28,2024-03-13,2024-03-12,1644,13.89
PO000035,SUP0013,PROD00213,WH008,2025-05-25,2025-06-04,2025-06-16,2497,72.91
PO000036,SUP0072,PROD00025,WH001,2025-11-12,2025-11-24,2025-11-27,2949,49.19
PO000037,SUP0021,PROD00090,WH009,2025-04-20,2025-05-03,2025-05-11,271,13.64
PO000038,SUP0044,PROD00221,WH002,2025-11-30,2025-12-30,2025-12-29,1867,52.77
PO000039,SUP0029,PROD00250,WH005,2024-07-08,2024-07-16,2024-07-30,2797,75.64
PO000040,SUP0006,PROD00286,WH005,2025-11-17,2025-12-17,2025-12-25,1248,43.66
PO000041,SUP0078,PROD00054,WH012,2025-07-16,2025-08-12,2025-08-25,423,3.85
PO000042,SUP0015,PROD00055,WH010,2025-07-20,2025-08-08,2025-08-19,844,60.46
PO000043,SUP0065,PROD00054,WH003,2024-08-31,2024-09-22,2024-09-20,977,65.04
PO000044,SUP0021,PROD00150,WH012,2025-05-19,2025-05-30,2025-06-07,3626,50.79
PO000045,SUP0064,PROD00051,WH003,2024-05-10,2024-06-08,2024-06-21,2989,35.97
PO000046,SUP0016,PROD00104,WH008,2025-04-29,2025-05-14,2025-05-15,3415,35.97
PO000047,SUP0032,PROD00243,WH006,2025-10-08,2025-11-06,2025-11-03,2359,9.72
PO000048,SUP0011,PROD00137,WH006,2024-01-21,2024-02-11,2024-02-13,3409,34.33
PO000049,SUP0020,PROD00272,WH007,2024-06-15,2024-07-01,2024-07-05,1879,11.0
PO000050,SUP0053,PROD00210,WH008,2024-09-30,2024-10-09,2024-10-19,4238,45.48
PO000051,SUP0004,PROD00227,WH003,2025-01-22,2025-02-21,2025-01-12,91,75.81
PO000052,SUP0009,PROD00044,WH006,2025-08-23,2025-09-19,2025-08-13,2588,47.53
PO000053,SUP0056,PROD00032,WH007,2024-11-11,2024-11-28,2024-11-01,313,28.59
PO000054,SUP0074,PROD00030,WH011,2024-01-14,2024-02-09,2024-01-04,4268,35.48
PO000055,SUP0052,PROD00284,WH005,2024-08-29,2024-09-12,2024-08-19,2579,50.45
PO000056,SUP0036,PROD00271,WH010,2024-12-11,2024-12-27,2024-12-24,1213,9.58
PO000057,SUP0058,PROD00106,WH009,2025-07-18,2025-08-14,2025-08-23,3632,69.89
PO000058,SUP0052,PROD00102,WH005,2024-12-05,2025-01-01,2025-01-09,700,36.48
PO000059,SUP0043,PROD00200,WH012,2024-04-01,2024-04-07,2024-04-21,1042,5.11
PO000060,SUP0037,PROD00110,WH002,2025-01-01,2025-01-22,2025-02-05,4201,25.08
PO000061,SUP0067,PROD00175,WH011,2025-03-30,2025-04-21,2025-04-27,1320,49.35
PO000062,SUP0070,PROD00133,WH004,2025-03-03,2025-03-08,2025-03-05,2499,12.25
PO000063,SUP0065,PROD00057,WH012,2025-05-23,2025-06-20,2025-06-30,501,37.86
PO000064,SUP0065,PROD00182,WH002,2024-02-04,2024-02-20,2024-02-25,401,70.71
PO000065,SUP0058,PROD00153,WH010,2024-07-24,2024-08-22,2024-08-22,52,19.07
PO000066,SUP0031,PROD00298,WH010,2024-03-21,2024-04-09,2024-04-16,4378,12.25
PO000067,SUP0045,PROD00154,WH005,2025-07-15,2025-08-08,2025-08-12,4702,42.55
PO000068,SUP0049,PROD00267,WH012,2025-01-22,2025-02-17,2025-02-18,2038,10.32
PO000069,SUP0067,PROD00299,WH004,2024-01-02,2024-01-10,2024-01-17,2969,31.08
PO000070,SUP0019,PROD00218,WH007,2025-01-24,2025-02-12,2025-02-12,681,63.45
PO000071,SUP0055,PROD00067,WH008,2025-07-19,2025-07-26,2025-07-24,1769,38.62
PO000072,SUP0048,PROD00270,WH007,2024-04-15,2024-05-04,2024-05-03,4828,6.86
PO000073,SUP0051,PROD00136,WH010,2025-04-21,2025-05-13,2025-05-26,4096,18.88
PO000074,SUP0057,PROD00251,WH012,2025-12-03,2025-12-28,2026-01-07,3425,38.66
PO000075,SUP0065,PROD00066,WH008,2025-02-05,2025-02-15,2025-02-16,3759,42.48
PO000076,SUP0068,PROD00061,WH012,2025-12-30,2026-01-08,2026-01-21,1751,19.49
PO000077,SUP0005,PROD00081,WH009,2025-07-09,2025-07-28,2025-08-09,3035,56.38
PO000078,SUP0015,PROD00062,WH006,2024-06-10,2024-06-18,2024-06-28,4693,47.53
PO000079,SUP0067,PROD00079,WH002,2024-07-20,2024-08-03,2024-08-01,3053,26.38
PO000080,SUP0039,PROD00151,WH008,2024-09-26,2024-10-10,2024-10-18,239,12.22
PO000081,SUP0019,PROD00216,WH001,2024-09-27,2024-10-27,2024-10-28,2509,56.38
PO000082,SUP0024,PROD00251,WH001,2025-03-31,2025-04-14,2025-04-17,1012,10.16
PO000083,SUP0009,PROD00023,WH007,2025-04-06,2025-04-28,2025-05-06,3951,52.13
PO000084,SUP0073,PROD00232,WH006,2025-12-27,2026-01-19,2026-01-25,3100,50.79
PO000085,SUP0018,PROD00259,WH011,2024-09-08,2024-09-28,2024-09-29,3785,7.34
PO000086,SUP0058,PROD00077,WH012,2025-12-02,2025-12-31,2026-01-11,2674,13.89
PO000087,SUP0050,PROD00120,WH007,2024-10-22,2024-10-29,2024-11-08,2787,55.62
PO000088,SUP0057,PROD00143,WH011,2025-12-25,2026-01-16,2026-01-14,735,33.05
PO000089,SUP0074,PROD00159,WH009,2025-12-20,2025-12-30,2025-12-27,1024,68.77
PO000090,SUP0011,PROD00099,WH010,2024-12-03,2024-12-28,2025-01-11,4448,26.49
PO000091,SUP0073,PROD00268,WH004,2024-02-22,2024-03-16,2024-03-14,3908,19.35
PO000092,SUP0016,PROD00273,WH003,2024-08-04,2024-08-25,2024-08-22,165,74.46
PO000093,SUP0032,PROD00297,WH008,2024-07-06,2024-07-19,2024-07-22,703,74.46
PO000094,SUP0078,PROD00165,WH007,2025-01-14,2025-02-13,2025-02-27,4834,10.08
PO000095,SUP0003,PROD00175,WH007,2025-05-07,2025-05-13,2025-05-25,1488,23.55
PO000096,SUP0068,PROD00163,WH007,2024-02-10,2024-02-28,2024-02-25,2116,53.17
PO000097,SUP0013,PROD00278,WH003,2024-06-05,2024-06-12,2024-06-12,2347,9.58
PO000098,SUP0033,PROD00046,WH003,2024-01-15,2024-01-24,2024-01-26,2523,36.56
PO000099,SUP0008,PROD00167,WH003,2024-03-05,2024-03-23,2024-03-25,232,30.65
PO000100,SUP0039,PROD00200,WH002,2025-06-04,2025-07-01,2025-06-29,2631,22.63
PO000101,SUP9999,PROD00133,WH007,2024-12-09,2024-12-18,2024-12-28,1000,74.46
PO000102,SUP9999,PROD00122,WH008,2024-05-08,2024-05-14,2024-05-17,4176,35.69
PO000103,SUP9999,PROD00059,WH005,2025-10-09,2025-11-07,2025-11-20,506,2.46
PO000104,SUP9999,PROD00209,WH002,2025-04-16,2025-05-01,2025-05-12,3976,21.53
PO000105,SUP9999,PROD00010,WH005,2024-03-03,2024-03-08,2024-03-18,4548,67.92
PO000106,SUP0032,PROD00285,WH011,2024-05-18,2024-06-10,2024-06-10,1038,51.25
PO000107,SUP0053,PROD00229,WH002,2025-05-13,2025-05-27,2025-06-11,4109,20.71
PO000108,SUP0048,PROD00277,WH003,2025-08-15,2025-08-26,2025-08-27,2018,19.53
PO000109,SUP0072,PROD00232,WH001,2025-01-26,2025-02-17,2025-02-27,18,76.07
PO000110,SUP0022,PROD00001,WH001,2025-11-05,2025-11-24,2025-11-30,3960,75.93
PO000111,SUP0049,PROD00180,WH011,2025-02-22,2025-03-07,2025-03-12,1752,18.84
PO000112,SUP0037,PROD00024,WH003,2024-10-15,2024-11-07,2024-11-20,4385,40.36
PO000113,SUP0039,PROD00046,WH007,2025-01-13,2025-02-05,2025-02-04,1017,39.14
PO000114,SUP0036,PROD00222,WH004,2025-05-04,2025-05-13,2025-05-27,4145,4.55
PO000115,SUP0044,PROD00134,WH012,2024-08-18,2024-09-17,2024-09-24,3718,49.61
PO000116,SUP0042,PROD00175,WH004,2024-02-10,2024-02-23,2024-02-27,3776,59.82
PO000117,SUP0003,PROD00069,WH011,2024-01-28,2024-02-21,2024-02-28,26,52.13
PO000118,SUP0001,PROD00005,WH011,2024-05-14,2024-06-07,2024-06-19,1431,54.95
PO000119,SUP0063,PROD00202,WH009,2024-07-19,2024-08-06,2024-08-20,674,53.79
PO000120,SUP0069,PROD00016,WH011,2024-02-02,2024-03-03,2024-03-02,3656,75.4
PO000121,SUP0046,PROD00193,WH010,2024-02-17,2024-03-14,2024-03-14,2942,58.06
PO000122,SUP0002,PROD00064,WH008,2025-05-17,2025-06-03,2025-06-05,3044,68.37
PO000123,SUP0002,PROD00114,WH012,2025-02-10,2025-02-21,2025-03-04,172,65.04
PO000124,SUP0046,PROD00099,WH002,2025-07-27,2025-08-25,2025-08-30,2493,56.82
PO000125,SUP0030,PROD00253,WH006,2025-12-28,2026-01-27,2026-01-31,311,5.11
PO000126,SUP0078,PROD00108,WH001,2024-04-08,2024-04-21,2024-05-03,1616,57.66
PO000127,SUP0015,PROD00143,WH010,2025-11-14,2025-12-09,2025-12-18,4108,37.22
PO000128,SUP0071,PROD00100,WH011,2025-12-26,2026-01-15,2026-01-17,4644,73.3
PO000129,SUP0023,PROD00034,WH010,2025-06-30,2025-07-26,2025-08-10,1060,2.75
PO000130,SUP0017,PROD00133,WH010,2025-09-04,2025-10-02,2025-10-01,1877,12.98
PO000131,SUP0025,PROD00012,WH012,2025-04-06,2025-04-27,2025-05-02,4375,11.84
PO000132,SUP0072,PROD00233,WH001,2025-10-04,2025-10-28,2025-11-02,3508,18.39
PO000133,SUP0042,PROD00222,WH007,2024-01-05,2024-01-30,2024-01-28,2254,57.19
PO000134,SUP0060,PROD00254,WH006,2024-08-05,2024-08-13,2024-08-26,4247,31.72
PO000135,SUP0029,PROD00025,WH005,2025-05-17,2025-06-15,2025-06-13,3451,20.71
PO000136,SUP0041,PROD00003,WH007,2025-02-01,2025-02-23,2025-03-06,1604,48.41
PO000137,SUP0074,PROD00013,WH012,2025-01-27,2025-02-11,2025-02-10,1858,27.49
PO000138,SUP0010,PROD00128,WH004,2024-07-25,2024-08-21,2024-08-31,1357,16.81
PO000139,SUP0009,PROD00050,WH001,2024-01-15,2024-01-30,2024-02-05,3941,70.07
PO000140,SUP0076,PROD00172,WH005,2025-07-07,2025-07-25,2025-07-22,2034,76.07
PO000141,SUP0031,PROD00175,WH001,2025-04-05,2025-04-13,2025-04-25,2742,12.98
PO000142,SUP0010,PROD00225,WH002,2025-11-21,2025-12-12,2025-12-16,3667,54.64
PO000143,SUP0011,PROD00032,WH001,2025-07-28,2025-08-20,2025-08-20,3101,68.77
PO000144,SUP0017,PROD00032,WH008,2024-08-28,2024-09-12,2024-09-11,458,61.6
PO000145,SUP0009,PROD00053,WH011,2025-07-17,2025-07-31,2025-08-10,467,9.26
PO000146,SUP0038,PROD00196,WH007,2024-04-05,2024-04-27,2024-04-25,795,4.81
PO000147,SUP0030,PROD00006,WH008,2025-04-29,2025-05-23,2025-06-02,3155,70.19
PO000148,SUP0080,PROD00052,WH006,2025-02-10,2025-03-01,2025-03-11,222,19.49
PO000149,SUP0043,PROD00099,WH002,2024-08-18,2024-09-06,2024-09-19,851,4.25
PO000150,SUP0076,PROD00100,WH010,2025-10-16,2025-10-21,2025-10-20,1042,35.25
PO000151,SUP0033,PROD00182,WH007,2024-06-19,2024-07-14,2024-07-27,3953,49.28
PO000152,SUP0024,PROD00125,WH003,2025-06-24,2025-07-22,2025-08-02,371,21.55
PO000153,SUP0040,PROD00300,WH007,2024-02-05,2024-02-11,2024-02-12,4213,60.66
PO000154,SUP0040,PROD00299,WH009,2025-06-08,2025-07-03,2025-07-11,1202,14.87
PO000155,SUP0040,PROD00176,WH005,2024-06-08,2024-06-17,2024-06-29,3031,42.48
PO000156,SUP0076,PROD00075,WH001,2025-11-29,2025-12-04,2025-12-17,1954,4.25
PO000157,SUP0007,PROD00217,WH006,2024-08-30,2024-09-20,2024-10-04,1610,79.1
PO000158,SUP0009,PROD00175,WH004,2024-03-26,2024-04-06,2024-04-09,3907,79.03
PO000159,SUP0077,PROD00170,WH010,2025-07-31,2025-08-27,2025-09-07,4647,37.38
PO000160,SUP0054,PROD00169,WH003,2025-11-12,2025-11-27,2025-12-03,868,35.97
PO000161,SUP0064,PROD00113,WH001,2025-07-10,2025-07-29,2025-07-27,1837,46.39
PO000162,SUP0060,PROD00110,WH004,2025-07-27,2025-08-23,2025-08-27,3948,76.2
PO000163,SUP0049,PROD00106,WH007,2025-10-07,2025-11-04,2025-11-11,1519,79.74
PO000164,SUP0002,PROD00038,WH006,2024-01-28,2024-02-02,2024-02-10,255,41.82
PO000165,SUP0019,PROD00149,WH008,2025-09-11,2025-10-03,2025-10-03,1602,63.37
PO000166,SUP0047,PROD00023,WH001,2025-07-09,2025-08-03,2025-08-18,1641,30.53
PO000167,SUP0023,PROD00113,WH005,2024-12-05,2024-12-16,2024-12-22,1437,70.07
PO000168,SUP0032,PROD00092,WH004,2024-11-26,2024-12-11,2024-12-25,186,55.28
PO000169,SUP0013,PROD00011,WH011,2025-10-01,2025-10-11,2025-10-16,1134,11.35
PO000170,SUP0044,PROD00108,WH005,2025-05-20,2025-06-06,2025-06-06,3747,13.89
PO000171,SUP0048,PROD00088,WH009,2024-12-13,2024-12-25,2025-01-02,3563,75.4
PO000172,SUP0016,PROD00074,WH003,2025-04-17,2025-05-14,2025-05-13,1563,56.03
PO000173,SUP0049,PROD00192,WH006,2024-08-18,2024-08-29,2024-09-12,4921,36.48
PO000174,SUP0006,PROD00097,WH009,2024-07-08,2024-07-26,2024-07-30,2419,75.81
PO000175,SUP0042,PROD00127,WH001,2024-08-12,2024-09-11,2024-09-12,2304,67.93
PO000176,SUP0075,PROD00251,WH004,2025-01-19,2025-01-28,2025-02-10,676,50.45
PO000177,SUP0079,PROD00034,WH003,2025-01-11,2025-02-10,2025-02-22,4176,49.79
PO000178,SUP0048,PROD00256,WH009,2024-10-09,2024-10-26,2024-11-08,3813,14.35
PO000179,SUP0048,PROD00270,WH012,2025-09-24,2025-10-04,2025-10-11,3969,4.55
PO000180,SUP0061,PROD00138,WH010,2025-09-19,2025-10-16,2025-10-28,3294,27.72
PO000181,SUP0005,PROD00107,WH004,2024-09-15,2024-10-10,2024-10-25,1672,43.85
PO000182,SUP0051,PROD00112,WH005,2024-12-24,2025-01-12,2025-01-16,3491,2.79
PO000183,SUP0021,PROD00192,WH005,2025-12-10,2025-12-27,2026-01-11,4520,45.4
PO000184,SUP0011,PROD00152,WH008,2025-03-31,2025-04-07,2025-04-08,4260,76.94
PO000185,SUP0075,PROD00022,WH008,2025-02-14,2025-03-02,2025-03-06,4206,42.44
PO000186,SUP0055,PROD00231,WH008,2025-10-10,2025-11-03,2025-11-10,3553,39.61
PO000187,SUP0064,PROD00163,WH005,2024-11-13,2024-12-01,2024-12-09,3142,16.07
PO000188,SUP0057,PROD00120,WH005,2025-11-07,2025-11-12,2025-11-14,631,54.24
PO000189,SUP0038,PROD00257,WH009,2024-08-12,2024-08-28,2024-08-27,4488,35.25
PO000190,SUP0036,PROD00117,WH002,2024-08-21,2024-09-15,2024-09-14,981,56.82
PO000191,SUP0005,PROD00280,WH004,2025-11-14,2025-11-21,2025-11-29,2744,28.48
PO000192,SUP0033,PROD00155,WH012,2025-10-25,2025-11-05,2025-11-12,2258,31.72
PO000193,SUP0070,PROD00134,WH001,2025-01-08,2025-01-19,2025-01-20,2463,49.61
PO000194,SUP0052,PROD00208,WH010,2025-11-02,2025-11-16,2025-11-24,107,79.53
PO000195,SUP0020,PROD00204,WH004,2025-08-30,2025-09-19,2025-10-02,1868,22.22
PO000196,SUP0061,PROD00120,WH009,2025-04-16,2025-05-14,2025-05-17,4818,25.58
PO000197,SUP0060,PROD00237,WH006,2024-08-20,2024-09-19,2024-10-03,713,72.14
PO000198,SUP0055,PROD00214,WH004,2025-11-22,2025-12-07,2025-12-10,3603,35.53
PO000199,SUP0004,PROD00192,WH003,2024-04-22,2024-05-11,2024-05-25,4740,39.61
PO000200,SUP0002,PROD00256,WH011,2025-05-11,2025-05-20,2025-05-26,2915,39.8
PO000201,SUP0054,PROD00218,WH011,2025-03-17,2025-04-01,2025-04-05,3314,53.56
PO000202,SUP0039,PROD00167,WH010,2025-07-17,2025-08-15,2025-08-29,200,73.99
PO000203,SUP0018,PROD00079,WH006,2024-09-24,2024-10-17,2024-10-15,4664,11.0
PO000204,SUP0051,PROD00196,WH004,2025-05-24,2025-06-18,2025-07-03,3210,75.93
PO000205,SUP0050,PROD00097,WH008,2025-01-20,2025-01-27,2025-02-10,899,58.26
PO000206,SUP0058,PROD00156,WH002,2025-01-21,2025-02-05,2025-02-20,1414,11.7
PO000207,SUP0023,PROD00017,WH012,2024-04-22,2024-04-30,2024-05-14,4952,41.82
PO000208,SUP0024,PROD00102,WH002,2025-09-04,2025-09-24,2025-09-21,3171,64.5
PO000209,SUP0030,PROD00150,WH011,2025-09-16,2025-09-30,2025-10-03,4305,5.11
PO000210,SUP0008,PROD00189,WH009,2024-03-21,2024-03-28,2024-04-08,100,53.79
PO000211,SUP0053,PROD00201,WH003,2025-11-29,2025-12-09,2025-12-16,917,78.75
PO000212,SUP0054,PROD00245,WH012,2024-04-22,2024-05-01,2024-05-15,573,76.2
PO000213,SUP0017,PROD00106,WH005,2024-01-02,2024-01-19,2024-01-22,3550,35.53
PO000214,SUP0021,PROD00295,WH005,2025-10-03,2025-10-30,2025-11-11,4822,45.48
PO000215,SUP0059,PROD00142,WH004,2024-08-07,2024-08-18,2024-08-31,70,13.64
PO000216,SUP0009,PROD00205,WH010,2025-07-19,2025-07-28,2025-08-08,2032,79.1
PO000217,SUP0073,PROD00252,WH008,2024-08-12,2024-09-02,2024-09-09,3800,27.49
PO000218,SUP0012,PROD00148,WH011,2025-01-19,2025-02-11,2025-02-09,3748,4.25
PO000219,SUP0051,PROD00090,WH007,2025-02-06,2025-02-22,2025-02-28,2050,43.94
PO000220,SUP0059,PROD00197,WH011,2025-09-29,2025-10-09,2025-10-19,1512,29.39
PO000221,SUP0013,PROD00202,WH012,2024-05-09,2024-06-05,2024-06-20,367,31.88
PO000222,SUP0036,PROD00276,WH005,2024-02-22,2024-03-05,2024-03-07,556,7.34
PO000223,SUP0064,PROD00211,WH009,2025-11-14,2025-12-11,2025-12-14,1003,75.93
PO000224,SUP0014,PROD00259,WH006,2025-12-30,2026-01-15,2026-01-14,3369,61.6
PO000225,SUP0033,PROD00107,WH009,2025-11-02,2025-11-21,2025-11-23,375,37.86
PO000226,SUP0010,PROD00237,WH007,2025-12-10,2025-12-29,2025-12-26,2825,25.8
PO000227,SUP0025,PROD00204,WH001,2025-02-19,2025-03-19,2025-03-28,97,37.39
PO000228,SUP0018,PROD00168,WH011,2024-09-03,2024-09-16,2024-09-16,3813,5.55
PO000229,SUP0009,PROD00043,WH009,2025-03-14,2025-04-03,2025-04-14,1994,58.06
PO000230,SUP0018,PROD00242,WH005,2024-07-21,2024-08-17,2024-08-28,1331,39.14
PO000231,SUP0078,PROD00052,WH003,2024-07-02,2024-07-12,2024-07-09,2419,75.81
PO000232,SUP0051,PROD00087,WH002,2024-05-02,2024-05-10,2024-05-24,101,9.58
PO000233,SUP0020,PROD00226,WH006,2025-02-04,2025-03-02,2025-03-07,1467,79.03
PO000234,SUP0069,PROD00111,WH008,2024-10-20,2024-10-31,2024-10-29,401,60.2
PO000235,SUP0014,PROD00200,WH012,2024-10-06,2024-10-31,2024-11-13,2535,63.37
PO000236,SUP0077,PROD00003,WH001,2025-09-01,2025-09-20,2025-09-18,3101,5.11
PO000237,SUP0032,PROD00192,WH004,2024-07-16,2024-08-14,2024-08-17,1648,47.27
PO000238,SUP0054,PROD00015,WH001,2025-05-25,2025-06-01,2025-05-29,2771,13.93
PO000239,SUP0029,PROD00050,WH011,2024-05-23,2024-06-03,2024-06-02,1385,13.64
PO000240,SUP0006,PROD00213,WH009,2025-08-31,2025-09-28,2025-09-30,892,24.88
PO000241,SUP0072,PROD00098,WH010,2024-07-19,2024-08-03,2024-08-10,1706,12.98
PO000242,SUP0055,PROD00062,WH004,2024-05-03,2024-05-25,2024-06-03,1761,9.72
PO000243,SUP0042,PROD00089,WH001,2024-07-05,2024-07-13,2024-07-21,3304,2.79
PO000244,SUP0002,PROD00200,WH004,2024-11-21,2024-12-16,2024-12-23,3768,52.13
PO000245,SUP0036,PROD00189,WH001,2025-04-08,2025-04-20,2025-04-19,561,6.01
PO000246,SUP0039,PROD00256,WH002,2024-12-14,2024-12-25,2025-01-04,4402,58.26
PO000247,SUP0022,PROD00129,WH002,2025-10-21,2025-11-20,2025-12-05,4924,56.03
PO000248,SUP0018,PROD00171,WH003,2025-02-06,2025-02-21,2025-03-02,2614,31.88
PO000249,SUP0009,PROD00172,WH001,2024-12-11,2025-01-06,2025-01-18,4995,45.4
PO000250,SUP0049,PROD00262,WH011,2025-05-25,2025-06-17,2025-06-28,1914,19.07
PO000251,SUP0002,PROD00120,WH001,2024-05-26,2024-06-16,2024-07-01,1026,54.24
PO000252,SUP0055,PROD00125,WH010,2024-05-27,2024-06-10,2024-06-14,660,38.89
PO000253,SUP0048,PROD00256,WH005,2025-12-11,2025-12-17,2025-12-18,1664,41.82
PO000254,SUP0027,PROD00020,WH004,2025-05-03,2025-05-12,2025-05-21,4909,27.49
PO000255,SUP0018,PROD00143,WH006,2025-10-01,2025-10-20,2025-10-27,334,19.49
PO000256,SUP0037,PROD00013,WH004,2025-07-04,2025-07-25,2025-08-04,2723,10.16
PO000257,SUP0027,PROD00277,WH001,2024-12-03,2024-12-18,2024-12-22,2044,13.64
PO000258,SUP0078,PROD00196,WH009,2025-10-02,2025-11-01,2025-11-05,2644,53.17
PO000259,SUP0001,PROD00034,WH008,2025-04-17,2025-04-27,2025-05-08,583,21.55
PO000260,SUP0019,PROD00105,WH003,2024-05-30,2024-06-10,2024-06-08,761,45.4
PO000261,SUP0071,PROD00105,WH004,2025-02-18,2025-02-28,2025-03-15,4166,62.85
PO000262,SUP0060,PROD00160,WH003,2024-10-24,2024-10-31,2024-11-10,1628,70.07
PO000263,SUP0023,PROD00128,WH005,2025-09-02,2025-09-14,2025-09-24,2347,79.1
PO000264,SUP0026,PROD00140,WH008,2024-09-19,2024-10-12,2024-10-23,665,39.61
PO000265,SUP0049,PROD00086,WH008,2024-05-23,2024-06-08,2024-06-17,3625,75.4
PO000266,SUP0079,PROD00222,WH003,2024-12-11,2024-12-29,2025-01-11,3958,74.87
PO000267,SUP0055,PROD00043,WH005,2025-09-15,2025-09-20,2025-09-29,4885,77.25
PO000268,SUP0071,PROD00090,WH005,2025-07-25,2025-08-16,2025-08-17,3126,58.63
PO000269,SUP0059,PROD00146,WH007,2024-01-02,2024-01-21,2024-01-27,4615,41.57
PO000270,SUP0010,PROD00171,WH003,2024-10-30,2024-11-23,2024-12-05,3854,24.38
PO000271,SUP0025,PROD00003,WH001,2024-09-10,2024-09-21,2024-09-22,4111,63.62
PO000272,SUP0063,PROD00208,WH007,2025-10-13,2025-11-10,2025-11-18,3242,71.66
PO000273,SUP0050,PROD00251,WH005,2025-03-28,2025-04-25,2025-05-03,4829,67.93
PO000274,SUP0005,PROD00064,WH007,2024-02-06,2024-02-13,2024-02-23,4643,5.91
PO000275,SUP0056,PROD00131,WH012,2024-06-08,2024-06-18,2024-06-21,2865,2.46
PO000276,SUP0048,PROD00030,WH011,2024-01-09,2024-01-30,2024-02-11,3166,63.05
PO000277,SUP0032,PROD00245,WH001,2024-08-20,2024-09-07,2024-09-11,2970,56.32
PO000278,SUP0019,PROD00134,WH010,2024-04-08,2024-05-03,2024-04-30,3741,75.35
PO000279,SUP0033,PROD00127,WH010,2025-10-20,2025-11-15,2025-11-16,4747,54.04
PO000280,SUP0002,PROD00060,WH002,2024-07-26,2024-08-21,2024-08-23,3158,13.93
PO000281,SUP0011,PROD00266,WH004,2024-05-10,2024-05-27,2024-06-11,3474,22.22
PO000282,SUP0033,PROD00155,WH009,2025-02-07,2025-02-17,2025-02-27,4377,4.55
PO000283,SUP0076,PROD00158,WH012,2024-05-31,2024-06-26,2024-07-05,3381,52.13
PO000284,SUP0014,PROD00294,WH006,2024-02-23,2024-03-23,2024-03-22,1179,74.87
PO000285,SUP0051,PROD00158,WH001,2024-04-29,2024-05-12,2024-05-15,1389,61.27
